n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,21,0,21,0,21,0,21,0,21,0,21,0,21,0
10,33.8,0.9797958971132712,35,3.0983866769659336,35.4,1.9595917942265424,34.6,2.3323807579381204,33,0,34.8,2.7129319932501073,-1,-1
12,43.2,1.469693845669907,43.4,1.7435595774162693,42.4,0.7999999999999999,44,1.7888543819998317,42,0,43.2,1.4696938456699067,-1,-1
14,72.4,1.9595917942265424,73.4,3.0066592756745814,72.2,1.5999999999999999,75.2,1.4696938456699067,71,0,71,0,-1,-1
16,73.2,3.6,69,2.756809750418044,74.4,4.223742416388575,74.2,3.867815921162743,67.6,2.0591260281974,66,0,-1,-1
18,71.4,5.122499389946279,67,3.03315017762062,72,4.427188724235731,71.2,5.30659966456864,65.2,0.4,68.2,3.370459909270543,-1,-1
20,94.6,2.5768197453450252,93,5.585696017507576,94.4,4.176122603564219,93,2.8284271247461903,88.6,1.2,90.4,3.49857113690718,-1,-1
22,81.8,5.192301994298868,78.8,5.6,86.4,6.651315659326356,91.4,9.645724441429996,75.4,1.2,78,5.176871642217914,-1,-1
24,125.6,6.590902821313632,133.4,5.238320341483518,129.4,9.414881836751857,140.6,9.350935782048769,123.6,4.409081537009721,126,5.138093031466052,-1,-1
26,142.8,17.95995545651492,129.6,9.54148835350125,150.8,8.657944328765346,142.4,12.240914998479484,127.4,4.409081537009721,137.2,7.025667228100119,-1,-1
28,160,12.066482503198685,152.4,15.396103403134184,156.8,9.325234581499814,159.6,11.394735626595292,140.4,3.2619012860600183,141.2,5.15363949069005,-1,-1
30,171.4,7.49933330370107,176.8,8.034923770640265,180.6,12.8,178.8,10.571660229122008,164.4,2.6532998322843198,171.6,12.403225386970922,-1,-1
32,188.8,9.703607576566563,192.8,12.921300244170475,173.6,17.917589123540033,176.2,16.079800993793427,149.8,6.11228271597445,152.4,11.876026271442818,-1,-1
34,170.2,19.497692171126303,180.4,13.573503600765722,181.2,16.104657711357916,176.2,13.059862173851606,154,4.8166378315169185,160.4,8.957678270623477,-1,-1
36,215.6,16.069847541280534,199.6,14.540976583434828,203,10,223,18.18790807102345,191.2,10.047885349664377,191.4,3.555277766926235,-1,-1
38,236,18.05547008526779,235.8,12.448293055676348,226.6,15.081114017207085,248.2,23.540603220818284,212.6,5.953150426454887,233.4,16.329115101560156,-1,-1
40,268.6,7.605261336732617,263,23.13438998547401,264.8,8.44748483277715,263.2,25.560907652115954,226.4,7.391887445030531,228.8,19.711925324533876,-1,-1
42,270.4,18.76805797092496,278.4,11.110355529864918,274.2,8.471127433818948,273.8,8.37615663654877,242.4,4.223742416388576,253.2,16.581917862539303,-1,-1
44,332.8,18.059900331950892,292,11.832159566199232,314.8,40.50876448375092,346.2,20.71134954559939,283.2,11.53082824431966,283,10.564090116995406,-1,-1
46,362.8,25.126878039263055,336.2,10.684568311354464,352.8,27.505635786143902,350.6,13.632314550361578,322,13.341664064126334,289.2,14.905032707109367,-1,-1
48,366.6,21.648094604375693,377.4,14.513442045221389,369.4,25.609373284014584,390.4,24.220652344641753,334,7.6681158050723255,357.6,18.13945974939717,-1,-1
50,382.6,15.081114017207085,391.8,23.6930369518135,424.6,37.9663008469353,399.4,19.39690696992693,379.2,14.524462124292244,368.4,19.324595726689857,-1,-1
52,427.8,9.6,435.4,49.447345732607324,461,19.788885769542457,439.4,26.612778885340028,407.6,9.971960689854328,432.4,36.14747570716384,-1,-1
54,413.2,16.314410807626487,428.2,47.148276744754945,419.2,26.56614386771253,423.2,20.5367962447895,369.4,17.861690849412888,389.6,18.948350851723216,-1,-1
56,491.4,20.713280763799826,466.2,24.019991673603887,468.8,18.00444389588304,473.4,43.9663507696511,429,8.532291603080617,441,38.95125158451266,-1,-1
58,509.6,27.68104044287353,495.4,21.434551546510132,537.2,37.15050470720418,527.4,36.70204353983576,482.8,11.513470371699404,465,30.9127805284481,-1,-1
60,571,46.00869483043395,570.8,39.68576571013844,558.6,39.9879981994598,560.6,22.73851358378555,487.4,17.118411141224527,477,43.90444168874033,-1,-1
62,550,38.351010416936866,560.8,28.97171033957091,594.2,18.465102220134064,563,25.274493071078595,503.8,16.12947612292476,456,38.47076812334269,-1,-1
64,585.2,58.73806261701181,621.2,23.827714955488283,558.6,54.386027617394525,599.2,23.574562562219473,546,20.774984957876626,485.2,14.330387294138285,-1,-1
66,630.8,32.12102115437801,601,33.6986646619714,636.8,24.210741417808748,609.2,39.816579461324906,580.2,11.956588142108098,530,23.46060527778429,-1,-1
68,611.6,43.733739835509155,615,37.87875393937873,577.8,17.463103962354456,621,22.715633383201094,539.6,23.260266550493355,518.8,46.991062980102924,-1,-1
70,690.8,36.864074652702186,694.4,26.043041297052845,725.2,49.74494949238566,725.4,49.5927414043628,652.6,28.806943607401323,642,44.86423965699185,-1,-1
72,689.4,36.805434381351894,687,61.02786248919423,717.8,39.70088160230198,685.8,47.52430956889327,622.8,16.939893742287758,605.8,57.241243871879654,-1,-1
74,749.2,50.62963559023509,724.6,27.982851891828325,753.6,33.684417762520404,739.6,48.55759466859948,690.4,20.185143051264212,657.4,34.72520698282445,-1,-1
76,749.2,40.355420949359456,745.4,24.36062396573618,772.4,39.449207850095036,805,65.35441836632012,669.2,21.497906874856444,679.2,64.02936826175939,-1,-1
78,797.4,21.959963570097287,736,42.5440947723653,826.2,37.2687536684553,761,31.67964646267379,738.6,22.791226382097122,623.4,47.21694611048029,-1,-1
80,736.6,18.117394956229223,778.2,39.158140916034306,759.6,42.62206001591195,795.4,74.1096484946461,701,48.27835954131002,675.4,105.07635319138174,-1,-1
82,872.2,52.116791919687465,908,39.59797974644666,899.4,32.11603960640228,910.8,45.305187340965716,813,26.145745351777602,710.6,37.9715683110403,-1,-1
84,900,36.6333181680284,906.4,17.281203661782357,919.6,50.48009508707368,942.6,79.84635245269504,866,14.338758663147937,825.6,84.35069649979187,-1,-1
