n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,5.2,2.7129319932501077,2.2,0.39999999999999997,5.2,2.3151673805580453,4.8,2.039607805437114,35.6,4.498888751680797,5031.4,3898.651900336833,0,0
10,5.8,2.4819347291981715,2.8,1.32664991614216,3,1.2649110640673518,6.4,2.0591260281974,40,6.164414002968976,5965.8,493.9540059560202,-1,-1
12,7.2,1.7204650534085253,3.8,0.39999999999999997,7,1.0954451150103321,8.2,1.8330302779823362,64.4,6.621178142898739,9325.4,1573.7078000696317,-1,-1
14,9,1.6733200530681511,5.6,1.624807680927192,8.2,2.1354156504062622,8,1.8973665961010275,81,1.4142135623730951,10787.8,2427.9439367497757,-1,-1
16,9.8,2.0396078054371136,5,0.6324555320336759,11.2,2.5612496949731396,10.2,3.655133376499413,94.6,9.414881836751857,14378.6,2985.266460468814,-1,-1
18,15.8,6.177378084592201,6.8,1.9390719429665317,12.2,2.0396078054371136,16.2,3.370459909270543,122.2,14.905032707109367,14241,3700.2025890483346,-1,-1
20,14.6,3.826225293941799,5.4,1.3564659966250536,13.2,3.8157568056677826,17,2.6076809620810595,141,8.78635305459552,17594.4,2697.7865445583348,-1,-1
22,20.2,6.615134163416491,7.6,1.2,14.6,2.33238075793812,16.4,2.870540018881465,164.2,7.984985911070851,20813,3693.5272572434064,-1,-1
24,21.6,3.3226495451672298,8.8,1.1661903789690602,15,2.8284271247461903,17.8,2.6381811916545836,176.6,8.754427451295717,26109,4199.740706281758,-1,-1
26,21.4,4.586937976471886,9.8,1.469693845669907,18.8,2.039607805437114,20.2,5.635601121442148,192.6,9.54148835350125,30842.4,3754.801438158881,-1,-1
28,31,8.78635305459552,13.2,3.059411708155671,26.8,4.874423042781576,24.6,1.9595917942265426,240.6,13.573503600765722,38170.8,6990.961318731495,-1,-1
30,32.2,4.354308211415448,11.8,2.1354156504062622,30.2,3.1874754901018454,25.4,3.9293765408777,265,17.041126723312633,42018.6,5075.510204895661,-1,-1
32,32.8,4.534313619501853,11.4,1.7435595774162693,25.2,3.4292856398964493,29.2,5.418486873657627,273.6,15.054567413247051,41035.6,4270.712942823481,-1,-1
