n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,5,0,5,0,5,0,5,0,5,0,5,0,5,0
10,6.6,0.48989794855663565,6.8,0.39999999999999997,6.6,0.4898979485566356,6.6,0.4898979485566356,6,0,6,0,-1,-1
12,6,0.6324555320336759,6,0.6324555320336759,5.8,0.7483314773547882,6.6,1.3564659966250536,5.2,0.39999999999999997,5.6,0.48989794855663565,-1,-1
14,9.8,0.9797958971132713,9,0.6324555320336759,9.4,0.7999999999999999,8.6,0.48989794855663565,8.2,0.39999999999999997,8.4,0.48989794855663565,-1,-1
16,8.2,0.7483314773547882,8.6,0.48989794855663565,8.8,0.7483314773547882,8.4,0.7999999999999999,6.2,0.39999999999999997,6,0,-1,-1
18,10.4,1.0198039027185568,10,1.2649110640673518,10,1.2649110640673518,11.2,0.7483314773547883,9,0,9.2,0.39999999999999997,-1,-1
20,11.6,1.8547236990991407,10.8,2.0396078054371136,11,1.0954451150103321,12,1.6733200530681511,9,1.0954451150103321,8.6,0.4898979485566356,-1,-1
22,13.2,0.7483314773547882,12.6,0.8,13,1.0954451150103321,13.4,0.48989794855663565,11.2,0.4,11,0,-1,-1
24,13.4,1.4966629547095764,13,0.8944271909999159,13.2,1.469693845669907,13.2,0.39999999999999997,12,0,12.6,0.4898979485566356,-1,-1
26,14,0.8944271909999159,14,0.8944271909999159,13.4,0.7999999999999999,13.8,1.1661903789690602,11.8,1.4696938456699067,10.8,1.5999999999999999,-1,-1
28,15,3.1622776601683795,14.2,0.9797958971132713,15.4,2.65329983228432,14.4,1.4966629547095764,12,1.0954451150103321,12.6,1.9595917942265424,-1,-1
30,15.6,0.48989794855663565,15,0.6324555320336759,15.8,1.7204650534085253,15.6,1.624807680927192,13.8,0.9797958971132713,13.2,1.4696938456699067,-1,-1
32,15,0.8944271909999159,14.6,1.3564659966250536,14,1.2649110640673518,15.8,0.9797958971132712,12.8,0.9797958971132713,12,0.8944271909999159,-1,-1
34,17,1.2649110640673518,18,2.3664319132398464,16.6,1.4966629547095764,17.4,0.4898979485566356,15.4,0.7999999999999999,15,0,-1,-1
36,16.8,1.32664991614216,15,1.0954451150103321,16.2,0.7483314773547883,16.4,0.7999999999999999,14.4,0.4898979485566356,14.2,2.1354156504062622,-1,-1
38,18.6,0.7999999999999999,18.6,0.8,20.4,0.8,19.2,1.5999999999999999,17,0.6324555320336759,16.8,1.9390719429665315,-1,-1
40,20.4,1.2000000000000002,20.4,0.8,19.2,0.9797958971132713,20.8,0.7483314773547882,18,1.0954451150103321,17.2,2.1354156504062622,-1,-1
42,22.8,0.9797958971132713,23.6,1.8547236990991407,21.6,1.4966629547095764,22.6,1.3564659966250536,18.8,0.39999999999999997,19,2.6832815729997477,-1,-1
44,21,2.0976176963403033,20.8,3.4871191548325386,22,2.449489742783178,21.2,2.7129319932501073,18.6,0.8,16.6,2.0591260281974,-1,-1
46,22.2,1.9390719429665317,20,2,21.8,3.1240998703626617,22.2,1.4696938456699067,19.4,1.8547236990991407,16.6,0.7999999999999999,-1,-1
48,24.2,2.3151673805580453,22.6,2.727636339397171,24,2,22.8,1.1661903789690602,19.8,1.1661903789690602,19,1.2649110640673518,-1,-1
50,22.8,1.5999999999999999,23.6,0.7999999999999999,22.2,1.7204650534085253,21,3.7416573867739413,19.4,0.4898979485566356,18.6,1.019803902718557,-1,-1
52,23,2.280350850198276,24,2.1908902300206643,25.8,1.9390719429665317,24,3.521363372331802,20.4,1.624807680927192,19,0.8944271909999159,-1,-1
54,23.4,0.7999999999999999,23.6,0.4898979485566356,24.6,1.7435595774162693,24.8,0.7483314773547883,22.4,0.8,21,2.6832815729997477,-1,-1
56,23.8,1.16619037896906,23.8,1.469693845669907,23.2,1.1661903789690602,26,2.280350850198276,20.8,1.1661903789690602,19.2,1.4696938456699067,-1,-1
58,27.4,2.5768197453450252,26.2,1.5999999999999999,25.6,1.9595917942265426,28,2.8284271247461903,23.6,2.870540018881465,23,1.4142135623730951,-1,-1
60,26.6,0.7999999999999999,27.2,0.7483314773547882,25.4,1.4966629547095764,25.6,1.9595917942265424,21.8,0.39999999999999997,21,1.2649110640673518,-1,-1
62,26.4,2.65329983228432,28.2,2.9257477676655586,26.2,2.5612496949731396,28.8,1.7204650534085253,23.8,0.7483314773547882,23.2,1.5999999999999999,-1,-1
