n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,3.2,1.16619037896906,1.4,0.4898979485566356,3.2,1.16619037896906,1.6,0.8,30,1.8973665961010275,2864,247.1760506197961,0,0
10,2.6,1.624807680927192,1.6,0.8,1.6,0.8,2.2,0.7483314773547882,32.6,2.5768197453450252,5168.8,6177.121154712769,0,0
12,9.2,4.166533331199931,3.6,1.3564659966250536,7.4,1.3564659966250536,6.6,1.9595917942265424,61.4,11.672189169131897,15763,13507.191521556211,0,0
15,13.4,3.261901286060018,4.4,0.8,9.2,3.370459909270543,9.8,4.069397989875161,91.2,6.241794613730894,6653.6,1236.7079849341962,-1,-1
16,10,2.0976176963403033,4.4,0.4898979485566356,11.4,0.4898979485566356,11.6,2.5768197453450252,98.4,8.97997772825746,33814.2,28637.90945861796,-1,-1
20,20.4,7.144228439796701,5.8,0.7483314773547882,16.2,2.0396078054371136,15.4,2.870540018881465,163.2,8.657944328765346,14820.4,3330.9528126348473,-1,-1
24,27.2,4.534313619501853,8.6,1.8547236990991407,19.8,4.261455150532504,22.4,1.7435595774162693,217,19.616319736382767,16117.8,5724.150990321621,-1,-1
28,29.2,6.241794613730894,12.6,1.4966629547095764,29,3.794733192202055,27.8,3.1874754901018454,274.4,22.312328430712917,30235.4,3514.940602627589,-1,-1
32,44.8,6.8527366796047255,14.8,2.4,31.2,4.707440918375928,35,10.373041983911952,326.4,18.13945974939717,37632,7471.374572326032,-1,-1
36,48.4,7.657675887630659,16.6,2.0591260281974,43.4,5.161395160225576,38.8,4.664761515876241,389.4,19.885673234768795,44170.8,4140.03199987633,-1,-1
40,56,7.5099933422074345,17,3.03315017762062,47,6.418722614352485,49,7.3484692283495345,447.2,19.873600579663464,62118.2,11236.158692364575,-1,-1
44,66.4,11.689311356961968,18.2,3.249615361854384,49,4.33589667773576,45.2,7.730459236035075,483.4,22.93120145129775,67889.4,16970.37403948422,-1,-1
48,75.2,8.657944328765346,22,2.756809750418044,56,7.238784428341543,53.6,5.71314274283428,553.6,14.093970341958293,90657.2,21442.443222730006,-1,-1
52,74.4,7.709734106958553,24.4,3.6110940170535577,60.6,4.498888751680798,58.2,8.657944328765346,612,15.899685531481433,118097.8,16752.137695231617,-1,-1
56,100.2,8.908422980528035,27.2,3.815756805667783,63.8,9.927738916792684,71.8,9.21737489744233,689.6,21.039011383617815,125504,24444.305095461397,-1,-1
60,104.6,6.945502141674135,29.4,2.244994432064365,72.4,8.957678270623475,73,9.879271228182775,747.2,12.351518125315609,137511.2,18614.74638451999,-1,-1
64,108.4,10.150862032359615,28.4,2.5768197453450252,84.4,7.2277243998370615,78.6,10.781465577554842,804.4,17.141761869772896,150329.6,13287.871441280578,-1,-1
68,129.6,16.930445948054647,31.8,4.308131845707603,82.6,8.685620300243388,89,4.242640687119285,847.2,27.27929617860402,184128.2,28041.33531342614,-1,-1
72,133.2,10.759182125050211,36,5.0990195135927845,96,4.604345773288535,90.4,8.380930735902785,921.2,16.412190591142913,211944.6,20975.93394917137,-1,-1
76,136.2,21.282856951076845,36,5.019960159204453,109,17.481418706729727,112,7.5099933422074345,1033,28.593705601058428,259791.8,19810.065243708817,-1,-1
80,143.4,9.046546302318914,34.6,3.49857113690718,109,4.8166378315169185,111.8,3.3105890714493698,1067.8,36.804347569275016,240291.8,26606.54108598109,-1,-1
84,171.2,18.38912722235615,42,3.1622776601683795,123.2,14.851262572589578,116.4,8.685620300243386,1135.2,36.12423009560204,278687.2,36587.4430885789,-1,-1
88,175.6,11.551623262554921,43.2,4.48998886412873,118.6,4.223742416388575,128.2,9.620810776644555,1241.6,47.17032965752942,287114.4,36685.82429004424,-1,-1
92,178.8,11.267652816802618,49.4,4.498888751680797,128.2,18.497567407634985,135.6,11.48216007552586,1293,28.74021572639983,305396,64061.68654664034,-1,-1
96,210,17.11139970896595,50.2,7.6000000000000005,147,12.66491215919005,135.8,16.98705389406886,1380.2,29.396598442677004,341335.6,58475.855426321046,-1,-1
100,207.8,14.74313399518569,47.2,4.955804677345546,144.2,6.968500556073738,132.6,10.55651457631732,1438,46.2644571998851,383113.4,62879.978882311974,-1,-1
