n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,3.6,1.9595917942265424,2.2,1.6,2.6,1.4966629547095764,3.4,1.7435595774162693,29.4,2.4166091947189146,1708,161.45711504916716,0,0
10,3.6,3.3823069050575527,1.4,1.019803902718557,1.6,1.019803902718557,2,1.4142135623730951,34.8,3.1874754901018454,1124,270.7205200940631,-1,-1
12,6.8,1.16619037896906,4,0.8944271909999159,6.6,0.7999999999999999,6.4,1.0198039027185568,48.4,4.498888751680797,1334.4,317.4596667294918,-1,-1
14,7.8,3.1874754901018454,6.2,1.9390719429665317,6.8,2.4819347291981715,8.8,0.4,61.8,5.344155686354955,1805,236.09404905672656,-1,-1
16,7.8,2.1354156504062622,5.2,1.7204650534085253,6,2.280350850198276,6,2,77.2,10.380751417888783,1237.4,288.83323908442395,-1,-1
18,9.8,3.655133376499413,4.2,1.32664991614216,9.8,3.6,6.6,1.8547236990991407,92.4,8.309031231136396,562.6,203.03851851311367,-1,-1
20,9.2,3.059411708155671,7.4,1.7435595774162693,11.4,4.8,10.6,3.7735924528226414,109.4,10.384603988597735,584.8,215.00827891037127,-1,-1
22,9.6,1.8547236990991407,8.2,1.16619037896906,11.4,3.9293765408777004,9,1.7888543819998317,120,7.92464510246358,788.4,504.0303959088182,-1,-1
24,11.8,3.370459909270543,10.6,2.727636339397171,14.2,2.7129319932501077,13,2.756809750418044,140,15.323185047502363,726,175.69632893148338,-1,-1
26,17.8,2.993325909419153,11,1.8973665961010275,16.2,3.655133376499413,16.8,2.6381811916545836,151,6.6932802122726045,463,197.64412462807994,-1,-1
28,20.8,5.114684741017769,14,5.403702434442518,16.4,2.576819745345025,19.2,2.1354156504062622,178.2,10.796295661012623,132.6,57.89507751095942,-1,-1
30,16.4,1.8547236990991407,13.2,2.5612496949731396,15.2,1.3266499161421599,18.4,3.3823069050575527,173.4,10.170545708072897,354.8,98.87042024791845,-1,-1
32,21.8,2.7129319932501073,17,2.0976176963403033,25,5.138093031466052,19.6,3.4985711369071804,210.6,18.650469162999627,534.8,57.27268109666248,-1,-1
34,24.6,6.651315659326356,11.4,2.727636339397171,23.6,5.083306010855534,20.4,5.9531504264548865,216.2,15.249918032566603,531.6,156.0930491726009,-1,-1
36,28.2,4.664761515876241,22.2,2.481934729198171,25.6,2.8705400188814645,30.2,2.7856776554368237,246,10.334408546211051,254.4,94.53591909956765,-1,-1
38,26.8,2.7856776554368237,18.2,3.655133376499413,24,2.8284271247461903,24.4,6.711184694225007,260,17.308957218735046,365.8,156.86350754716662,-1,-1
40,23,4.2895221179054435,15.6,1.7435595774162693,25.8,2.481934729198171,21.2,3.6,280.2,8.37615663654877,244.8,117.36336736818691,-1,-1
42,28.2,4.707440918375928,17.2,3.1874754901018454,31.4,6.406246951218787,27.4,4.176122603564219,277.8,9.239047569960876,346.2,55.6143866279221,-1,-1
44,28.6,5.571355310873647,19.8,7.222188034107115,34.2,7.467261881037788,28.6,5.535341001239218,300,20.02997753368685,185.6,43.600917421540565,-1,-1
46,34.2,5.268775948927796,25.8,2.9257477676655586,37.8,8.133879763065101,32.4,4.715930449020639,337.8,31.339432030590473,259.8,106.44698210846562,-1,-1
48,32.6,6.086049621881176,24.6,2.939387691339814,33.8,4.707440918375928,34.8,5.30659966456864,345.8,12.967652061957862,164,50.410316404482124,-1,-1
50,34.6,3.0724582991474434,22.4,2.0591260281974,35.4,6.118823416311342,36.8,6.04648658313239,370.8,30.142329040736055,23848.8,29054.0181826886,-1,-1
52,41.6,6.2801273872430325,28,4,35,6.387487769068525,36.4,8.404760555780278,384.6,15.894653189044421,174.8,44.63810031800189,-1,-1
54,46.2,4.261455150532504,31.8,4.874423042781576,41.2,4.664761515876241,44,7.155417527999327,406.2,21.169789795838785,147.8,34.09046787593271,-1,-1
56,47,6.260990336999411,31.2,3.655133376499413,44.6,3.0724582991474434,39.4,8.01498596380555,435,17.640861656959956,13702.2,27088.476947957042,-1,-1
58,43.2,10.186265262597475,32,3.4641016151377544,46.8,1.9390719429665317,41.4,3.6110940170535577,425.2,33.156598136720845,131.2,38.85048262248489,-1,-1
60,42.6,4.223742416388575,29.8,3.54400902933387,43,6.48074069840786,48.2,9.453041838477178,464,23.815961034566715,157.2,53.98666502016957,-1,-1
62,52.2,5.1536394906900505,32.6,5.71314274283428,46.4,7.3375745311376575,54,9.528903399657276,466.2,23.146490014686893,15187.2,30108.41511205796,-1,-1
64,58.6,6.916646586316233,40.8,3.4292856398964493,53,13.221195104830729,50.6,7.939773296511683,499,16.88786546606764,31408.4,38218.25652538326,-1,-1
66,59.6,12.467557900406959,39.6,1.7435595774162693,57.2,5.2687759489277965,51.2,8.49470423263812,521.2,25.031180555459223,157,26.49528259898354,-1,-1
68,52,4.69041575982343,33.8,5.455272678794342,48,8.07465169527454,54.4,6.019966777316964,546.4,13.10877568653915,16780.4,33201.390956404226,-1,-1
70,53.4,9.178235124467012,38,7.694153624668538,60,6.663332499583072,55.2,8.23164625090267,544.8,17.75837830433849,34572.6,42110.339132331865,-1,-1
72,62,8.921883209278185,41.6,5.6780278266313555,61.8,6.675327707311454,59.4,7.787168933572714,571.2,26.270896444544864,18087.8,35769.12750068137,-1,-1
74,62.2,8.471127433818948,45.2,5.30659966456864,62.6,7.552483035399683,60,6.985699678629192,626.2,29.579722784366993,36520.4,44562.594029522115,-1,-1
76,62,9.273618495495704,45,7.797435475847171,60.6,8.357032966310472,62,9.50789145920377,617.6,25.741794809220277,76096.4,37991.21728821018,-1,-1
78,61.6,11.092339699089639,46.2,7.30479294709987,65.4,9.414881836751857,63.2,5.1146847410177685,647.8,30.367087446773688,39377.6,48045.23185749029,-1,-1
80,74.2,10.107423014794621,48.4,9.850888284819801,68.2,8.109253973085316,65.4,6.343500610861483,640.8,18.988417522268673,20222,40188.01200855798,-1,-1
82,79,10.256705123966467,44.6,5.6780278266313555,80.8,13.67333170810977,71.6,9.221713506718803,680.8,41.590383503882244,81663.8,40758.79614218261,-1,-1
84,71,5.513619500836088,48.4,6.529931086925803,74.8,8.840814442120138,80.2,8.518215775618742,708.4,25.064716236175506,42245,51540.96545467498,-1,-1
86,66.6,5.607138307550474,47.2,12.592060990957755,74.4,3.32264954516723,72.8,14.958609561052123,706.6,25.295058806019803,107115.6,278.7748912653361,-1,-1
88,73.8,2.5612496949731396,49.6,5.953150426454887,73.4,9.748846085563153,73.8,6.43117407632541,754.4,24.79193417222626,88775.2,44295.68392247715,-1,-1
90,77,6.957010852370434,51,7.238784428341543,71.6,6.770524351924302,66,8.414273587185052,787.6,28.855502074994295,67814.8,55283.55141052355,-1,-1
92,77,13.769531582446804,57,6.603029607687671,81.2,9.19565114605812,82.6,10.96540012949824,798.2,36.95077807029238,69243.4,56408.465551191875,-1,-1
94,85.2,11.249888888340186,49.4,5.9531504264548865,81.4,9.09065454189081,79.4,7.28285658241325,802,25.79922479455536,94502.2,47170.655078766926,-1,-1
96,79.2,2.638181191654584,59.8,7.30479294709987,86.6,5.4626001134990645,78.8,10.047885349664377,833.6,26.066069899392197,97163.2,48470.85660229247,-1,-1
98,82,9.23038460737146,56.8,4.955804677345546,85.4,12.831211945876353,83,6.418722614352485,849.6,25.935304123915724,121887.4,450.99605319780795,-1,-1
100,84.4,6.829348431585549,62,6.54217089351845,94,8.532291603080617,92.6,4.223742416388575,859.4,49.91833330551011,127031.2,528.7953857589908,-1,-1
102,78.4,5.817215828899594,53.2,7.984985911070851,76.2,6.939740629158989,83.6,12.705904139414873,887.2,29.982661656363994,51889.6,63405.19993375937,-1,-1
104,86,13.281566172707194,65,6.870225614927067,97,8.78635305459552,90.6,21.712669112755343,936.6,57.68743364026519,79029.4,64399.05333962605,-1,-1
106,95.2,8.908422980528035,72.6,7.914543574963752,100.8,14.413882197381803,100,3.847076812334269,918.4,19.632625906892844,134453.8,122.9819498950964,-1,-1
108,97.4,7.914543574963752,72.8,7.413501197140255,92.6,10.229369482035537,107.6,5.4258639865002145,950.2,20.350921355064,107848.8,53776.16706832126,-1,-1
110,100.8,5.912698199637793,70.4,13.720058308913996,102,12.743625857659193,104.8,18.432579851990333,974.8,60.99639333599979,110966,55406.04106051975,-1,-1
