n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
6,18,0,18,0,18,0,18,0,6,0,6,0,-1,-1
12,72,0,72,0,72,0,72,0,12,0,12,0,-1,-1
18,162,0,162,0,162,0,162,0,18,0,18,0,-1,-1
24,288,0,288,0,288,0,288,0,24,0,69.6,62.97173969329417,-1,-1
30,450,0,450,0,450,0,450,0,30,0,81.6,68.8,-1,-1
36,648,0,648,0,648,0,648,0,36,0,105.6,139.2,-1,-1
42,882,0,882,0,882,0,882,0,42,0,302,91.23157348199142,-1,-1
48,1152,0,1152,0,1152,0,1152,0,75.6,55.2,262.4,127.20628915269874,-1,-1
54,1458,0,1458,0,1458,0,1458,0,147.6,76.42407997483515,274.4,76.42407997483517,-1,-1
60,1800,0,1800,0,1800,0,1800,0,129.6,85.24224304885459,646.4,272.74720896830456,-1,-1
66,2178,0,2178,0,2178,0,2178,0,142.8,94.06040612287404,376,74.43655016186605,-1,-1
72,2592,0,2592,0,2592,0,2592,0,156,102.87856919689348,721.2,308.1469779180059,-1,-1
78,3042,0,3042,0,3042,0,3042,0,306,144.1998613036781,860.8,390.0842985817296,-1,-1
84,3528,0,3528,0,3528,0,3528,0,330,155.58406088028426,813.2,511.7774516330316,-1,-1
90,4050,0,4050,0,4050,0,4050,0,459.6,129.3330584189518,1083.2,443.0288478191911,-1,-1
96,4608,0,4608,0,4608,0,4608,0,378,0,1230.4,521.182348127793,-1,-1
102,5202,0,5202,0,5202,0,5202,0,522,146.9693845669907,1954.8,924.5458128183806,-1,-1
108,5832,0,5832,0,5832,0,5832,0,362.4,237.96940979882268,2626.4,1365.994084906666,-1,-1
114,6498,0,6498,0,6498,0,6498,0,382.8,134.39999999999998,2367.6,1185.6336027626749,-1,-1
120,7200,0,7200,0,7200,0,7200,0,686.4,173.423873789049,4728.4,1590.5050267132135,-1,-1
126,7938,0,7938,0,7938,0,7938,0,646.8,379.36705181130316,2720,1834.1158087754436,-1,-1
132,8712,0,8712,0,8712,0,8712,0,756,191.0601999370879,3609.6,1964.3133762208106,-1,-1
138,9522,0,9522,0,9522,0,9522,0,790.8,326.40000000000003,5609.2,3223.674822310712,-1,-1
144,10368,0,10368,0,10368,0,10368,0,1251.6,434.43646255810523,1370.4,1356.667918099341,-1,-1
150,11250,0,11250,0,11250,0,11250,0,1570.8,332.259175945526,4045.2,4313.680674319785,-1,-1
156,12168,0,12168,0,12168,0,12168,0,1357.2,226.33285223316565,5976.8,5563.15861359354,-1,-1
162,13122,0,13122,0,13122,0,13122,0,1314,235.1510153071851,14057.2,1986.2751471032404,-1,-1
168,14112,0,14112,0,14112,0,14112,0,1462.8,398.4,9070.4,5785.204494224901,-1,-1
174,15138,0,15138,0,15138,0,15138,0,1618.8,206.4,5391.6,7764.126469861242,-1,-1
180,16200,0,16200,0,16200,0,16200,0,1675.2,399.60900890745694,20495.6,2468.6635736770613,-1,-1
186,17298,0,17298,0,17298,0,17298,0,1400.4,732.3107537104723,7465.6,7452.4922435384,-1,-1
192,18432,0,18432,0,18432,0,18432,0,2016,980.6650804428594,14467.2,12256.87781451704,-1,-1
198,19602,0,19602,0,19602,0,19602,0,1609.2,470.4,24961.2,3816.458588796687,-1,-1
