n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
8,84,0,84,0,84,0,84,0,84,0,84,0,84,0
10,192.6,4.409081537009721,189,0,189,0,190.8,3.6,189,0,189.2,0.4,189,0
12,337,0,337,0,337.6,1.2,340.2,4.66476151587624,337,0,338.2,1.469693845669907,337,0
14,540.4,12.8,546.8,15.67673435381234,540.4,12.799999999999999,541.4,14.8,534,0,534,0,534,0
16,885.6,5.2,886.6,5.083306010855534,885.2,2.315167380558045,893,15.11290838985005,883,0,885.4,1.7435595774162693,883,0
18,1270.4,5.388877434122992,1268.2,4.4,1268.6,5.2,1273.4,8.845337754998393,1266,0,1268.8,3.655133376499413,1266,0
20,1775.8,1.469693845669907,1788.8,18.69117438792972,1775.2,1.469693845669907,1779.4,6.311893535223801,1774,0,1775,1.2649110640673518,1774,0
22,2405.2,8.953211714239755,2414,18.973665961010276,2426.6,7.172168430816444,2420.4,17.315888657530692,2399,0,2402.8,6.144916598294887,-1,-1
24,2920.6,30.93606309794444,2895,9.797958971132712,2922.6,35.71890255872932,2924.8,37.11280102606108,2890,4,2899.6,13.77824371971987,-1,-1
26,3729,26.252618916976648,3770,31.799371062962866,3716.2,24.350770008359078,3733.2,34.28352373954579,3707.2,20.400000000000002,3725.8,23.6930369518135,-1,-1
28,4852.2,35.39717502852452,4840.8,35.835178247080066,4877.8,56.225972646100125,4882,47.277901814695625,4812,0,4828.8,24.152846623120844,-1,-1
30,6037.4,53.07202652999036,6040.2,33.617852400175714,6051.2,20.31157305577291,6058.6,57.33968957013981,5990.6,6.8585712797928995,5985,0,-1,-1
32,7211.2,16.277591959500644,7244.2,55.79032174131997,7236.4,19.571407716360106,7278.8,57.083798051636336,7199.6,9.2,7233.6,15.538339679644025,-1,-1
34,8523.2,61.21895131411514,8530.4,50.074344728613276,8553,85.83705493549974,8546,68.23195732206428,8458,14,8471.2,29.532355138051557,-1,-1
36,10379.2,71.09542882633173,10311.8,44.70078299090521,10273.6,38.99538434225261,10283.6,51.270264286426304,10263.6,42.57511009968148,10308.4,65.89263995318446,-1,-1
38,11942.4,88.74592948411775,12016.2,144.04082754552613,11953.6,65.55791332859825,12092,119.81485717556066,11838.4,15.186836405255704,11832.8,13.6,-1,-1
40,14423.2,113.78822434681015,14491.2,104.0987992245828,14489,64.12799700598795,14478.4,51.909921980291976,14382.6,53.2,14369.4,6.8585712797928995,-1,-1
42,16467.4,141.01716207611045,16303.4,138.8,16355.2,145.67690276773462,16305.8,54.71526295285439,16234,0,16289.6,29.124560082514552,-1,-1
44,19279.4,20.857612519173905,19289.4,37.839661732103266,19341,58.15152620525105,19430.8,120.99487592456137,19251.8,3.4871191548325386,19290.4,39.80753697479913,-1,-1
46,21812.8,111.67166157982965,21805,123.39367893048654,21810.4,151.37053874516005,21854.6,64.84011104247124,21679,0,21759,31.12555220393688,-1,-1
48,25237.4,53.41385588028634,25226.4,120.58955178621406,25279.6,39.51506042004744,25299.8,89.06492014255669,25109.2,14.4,25158.8,48.39586759218188,-1,-1
50,28599.8,149.13805684666806,28627.4,71.38515251787307,28729.8,145.96492729419626,28705,158.65434125796872,28459.6,29.2,28537.6,77.51799791016276,-1,-1
52,31638.8,236.78631717225556,31753,243.57421866856106,31575.2,87.93042704320274,31775.6,187.13909265570356,31510,0,31600.4,71.77074612960352,-1,-1
54,35603.6,151.89549038730544,35591,85.50321631377383,35701.8,146.92773734050354,35687.8,149.2265391946084,35509.2,10.225458424931373,35622.2,145.2644485068525,-1,-1
56,39725.2,112.89003498980767,39913.6,117.02068193272504,39698,83.93330685728998,40005.6,108.84594618082934,39578.4,76.8,39597.2,22.542404485768593,-1,-1
58,44801.8,107.22947356021105,44797,153.67628314089328,44826.4,119.88094093724823,44945.6,161.85870381292443,44645.4,29.479484391691795,44762.8,83.94855567548497,-1,-1
60,49473.8,243.76332784075623,49616,136.58550435533047,49493,247.77651220404246,49800.2,155.3028010050044,49277.6,90.87265815414447,49364.8,81.07132662045194,-1,-1
62,54184.8,327.6,54312.8,108.84741613837234,54332.8,236.39069355623965,54429.6,212.48679958999807,54060.8,79.6,54176.8,158.1523316299826,-1,-1
64,60860.6,290.09970699743906,60977.8,286.50682365346904,61155.2,189.18604599705552,61067,277.89422448118637,60729.6,61.53568070639993,60770.8,112.55114393021512,-1,-1
66,66637.8,240.6062343331943,66672.6,223.19014315152899,66760.6,268.0288044222113,66873,395.6498451914268,66317.8,102.96096347645549,66386.6,96.43360410147493,-1,-1
68,72106.8,237.10706442449157,72244.8,244.09211376035893,72171.6,186.66826189794557,72356.2,314.43816562243205,71788.4,69.98456972790503,71812,46.28606701805631,-1,-1
70,78214.4,166.28722139719576,78280.4,380.8015756269924,78167.6,271.1026373903434,78251.4,303.4011206307584,77834.6,92.08387480987103,78014.8,194.43806211747741,-1,-1
72,85636.4,129.24952611131695,86098,305.9241736116975,86038,292.24304953240545,86167,441.4775192464504,85619.6,84.79528288767011,85851.4,204.96106947418087,-1,-1
74,93848.2,395.61415545958414,93924.8,244.9795093472105,93843.4,368.59332603833184,94008,426.7561364526584,93296.2,54.414703895178924,93365.6,68.40643244607922,-1,-1
76,102490,240.75464689180976,102617.6,265.2663567058589,102861.4,489.5200098055237,102760.8,219.5280392113955,102297.6,103.08947569951067,102429.8,196.45396407301126,-1,-1
78,110138.4,315.06862744487904,110202.6,343.4184619382016,110469.6,563.6625231466076,110580.6,250.0220790250333,109812,115.12601791080937,109963.4,200.02459848728608,-1,-1
80,120008.8,208.67525008970279,120604.6,393.8591626457356,120120.6,355.1932431789771,120231.8,274.92209805688594,119618.4,128.55131271208398,119811.8,178.41345240760293,-1,-1
82,128469.8,623.765789379315,128223.8,420.9206100917369,128682.4,488.31203138976616,128647.4,218.42124438799448,127485.2,46.305075315779376,127753.8,105.91015059945859,-1,-1
84,138481.2,398.26995869635965,138266.2,300.8783142733953,138452.6,462.4009515561143,138662,462.23457248457737,137761.4,95.01494619269118,137916.8,229.88901670153797,-1,-1
86,147498.8,306.50768342734904,147604.6,391.79515055702257,147736.2,240.6486235156977,148148.6,316.2015812737185,147210.4,102.94386820010214,147680.2,273.3257397319177,-1,-1
88,156553.2,243.0427122955963,156587.4,164.20060901226887,157148.4,542.1773141694514,157315.6,749.7475841908396,156215.6,146.18563540922892,156377.6,292.27493905567746,-1,-1
90,169132.4,153.3383187595325,168925.8,338.9804714139149,169470,771.3891365581965,169236.6,541.4264862379749,168688,95.85614221321448,168750.8,390.3544030749493,-1,-1
92,181576.2,571.0346399300133,181608.2,591.5408354458718,182443,351.76924254402917,181671,562.0910958198858,180898.2,124.40482305762909,181106.6,220.07871319143976,-1,-1
94,195551.8,653.2415785909528,195623.2,458.0988539605835,195419.2,736.566195260141,195344.8,559.7232887775888,194697.8,169.62712047311302,194833,210.6399772123041,-1,-1
96,207368,1010.4757295452474,208371.6,324.61337002655944,207144.8,614.5331235987202,207861,366.35010577315245,206503.4,62.78088881180323,206654.4,108.85145841926051,-1,-1
98,217751.2,435.43100486759096,218519.2,975.5842147144448,218376.6,747.0433990070457,219521.4,553.0629620576666,217718,137.73162309360913,217917,237.18937581603439,-1,-1
100,234438.8,597.8686812335966,235146.4,591.6250839847818,234900,359.0314749433537,234569.6,521.3523184948928,233733.8,194.01999896917843,234022.4,285.51469314205184,-1,-1
102,247882.4,475.3935632715277,248348,316.60132659229333,248115.2,796.945518840529,248801.8,740.4480805566317,247193.8,255.79319772034597,247417.2,344.48477469984067,-1,-1
104,264773.2,699.1204188120955,265521.4,730.8659521417043,265241.4,202.75956204332263,265593.4,669.8541930898097,264371.4,304.93514064469514,263781.8,189.41847850724596,-1,-1
106,278696.4,749.2984985971879,279710.4,434.4231117240426,278856.4,621.9699671205998,280183.8,397.3927024996811,278120.4,189.74783266219407,278494.8,379.4677324885477,-1,-1
108,294121.2,394.9771638968511,294499.8,623.6509921422397,294563,573.5914922660552,294342.8,426.62836286398027,293724.8,265.94992009775075,293652.2,262.3115704653533,-1,-1
110,313769.8,316.4575168960282,313211.4,703.8365151084448,313256.6,705.4228802640299,313476.8,775.9874741257103,312362.2,202.2151329648699,312501.4,197.46250276951318,-1,-1
112,328943,799.122268492125,329633.8,375.18656692371064,329655,849.3204342296257,329727.6,232.12806810034843,328514.6,306.12977640210045,328630.2,773.3908197024322,-1,-1
114,349317.8,703.3381548017994,349933,755.4092930325917,350754.8,936.512124854772,350279,1096.6381353938043,348853,409.7828693344806,348564.6,196.59359094334687,-1,-1
116,366334.4,355.49998593530216,366778,788.6038295620939,366273.4,183.03507860516794,367376,825.445334349889,365763.8,241.3241803052483,366101.2,437.63610454348947,-1,-1
118,385833.6,776.9887000465321,385723.6,655.2784446325088,385868.4,782.5406315329576,387092.8,1142.7450109276347,385004.6,368.73003674775396,384567.2,342.23699390919154,-1,-1
120,404907.2,684.995007281075,405273.2,996.8250398139083,404770.4,834.2056341214676,406075.6,1007.8687612978189,404366.6,259.78190853098295,404199.4,484.37902514456596,-1,-1
122,426107.6,859.5926011780232,426076.4,396.2991799133579,425673.2,454.63365471553027,426971.4,484.7620447188497,424880.2,225.66470703235808,424956,503.5672745522687,-1,-1
124,444641.6,408.9897798234083,445008.8,931.97605119445,445451.8,453.0811847781808,445702,675.6392528561378,444402.8,183.61524991132953,444438.6,516.5123812649606,-1,-1
126,475458.6,385.09977927804636,475308.2,402.87635820435037,475653.4,262.77488464463266,475471.2,638.359271883788,474075,307.96623191512407,474748.6,612.0011764694575,-1,-1
128,494541,932.4769166043736,494028.8,596.8880632078346,494074.8,407.8634085082897,495171.6,1119.043627389031,492365.2,205.81681175258743,493114.6,582.944800131196,-1,-1
130,515206.2,976.3215453937294,516352.2,1269.0688554999685,516229,727.3241368193413,516203.8,1487.3746535422742,514078,259.32836327713943,514728.2,546.1059970372053,-1,-1
132,544665.2,428.0029906437571,545942.4,561.5908118906506,545175,641.2646879409469,546292.6,590.9438552011519,544385.2,559.7722393974178,543765.8,222.39460425109237,-1,-1
134,570947,520.8028417741209,572063.6,1207.610301380375,572368,699.672208966456,572293.6,979.8123493812476,570614.6,371.1019266993908,570551.4,339.66136076981144,-1,-1
136,596446.6,1105.672935365608,596067.6,536.3195316227071,596090.4,860.8964165333714,598016.4,382.35616903614886,595374.4,178.2196397707054,595307,603.0402971609774,-1,-1
138,617993.6,915.3267394761282,619877,1259.5756428257891,617706.8,472.31912940299173,618815.8,1192.5769409140862,617174.2,523.6064934662289,616876.2,621.2231161185167,-1,-1
140,645490.2,1372.349430720908,647758.2,703.1208715434353,646897.2,1857.3148790660134,647288.2,1019.2050627817741,645068.6,246.17765942505832,644615.4,694.9608909859604,-1,-1
