n,SimpleHc,SimpleHcStd,SteepestHc,SteepestHcStd,FirstChoiceHc,FirstChoiceHcStd,StochasticHc,StochasticHcStd,RandomRestart,RandomRestartStd,SimAn,SimAnStd,BranchAndBound,BranchAndBoundStd
6,0,0,0,0,0,0,0,0,15.4,4.079215610874228,2797,44.1316213162399,-1,-1
12,0,0,0,0,0,0,0,0,53,2.9664793948382653,6035.2,216.85792584086016,-1,-1
18,0,0,0,0,0,0,0,0,95.8,6.4621977685614045,9599.6,121.91570858589142,-1,-1
24,0,0,0,0,0,0,0,0,148,6.356099432828281,13316.4,149.38888847568282,-1,-1
30,0,0,0,0,0,0,0,0,194.6,6.019966777316964,16790.2,150.13380698563532,-1,-1
36,0,0,0,0,0,0,0,0,238,9.402127418834526,20514.6,140.04513558135463,-1,-1
42,0,0,0,0,0,0,0,0,288.8,8.059776671843954,23983,457.23735630414103,-1,-1
48,0,0,0,0,0,0,0,0,335.6,11.757550765359253,27080.6,297.2275895673213,-1,-1
54,0,0,0,0,0,0,0,0,398.2,8.63481325796916,104474.2,147165.40688816784,-1,-1
60,0,0,0,0,0,0,0,0,429.8,7.467261881037787,33841.6,283.5585301132731,-1,-1
66,0,0,0,0,0,0,0,0,478.2,12.607934009979589,184537.4,294655.01299696224,-1,-1
72,0,0,0,0,0,0,0,0,526.8,6.177378084592201,214457.4,347885.87901701324,-1,-1
78,0,0,0,0,0,0,0,0,569.8,10.49571341072154,43813.6,588.6253817157394,-1,-1
84,0,0,0,0,0,0,0,0,624.4,14.374978260853126,287405.8,479567.826584478,-1,-1
90,0,0,0,0,0,0,0,0,675,19.0473095212946,332568.6,560899.8466377397,-1,-1
96,0,0,0,0,0,0,0,0,713.6,5.388877434122992,54336.4,1318.9505828498654,-1,-1
102,0,0,0,0,0,0,0,0,766.8,16.90443728729235,418010.4,720100.2900048299,-1,-1
108,0,0,0,0,0,0,0,0,812.4,8.114185110040317,873242.4,996460.7062877292,-1,-1
114,0,0,0,0,0,0,0,0,860.2,20.84610275327261,520162.4,909118.871457765,-1,-1
120,0,0,0,0,0,0,0,0,924.2,12.432216214336043,569272.4,1015099.7439504357,-1,-1
126,0,0,0,0,0,0,0,0,947.2,19.374209661299734,68292,5694.174286057637,-1,-1
132,0,0,0,0,0,0,0,0,1008.8,12.237646832622683,1314147.8,1524847.8639593394,-1,-1
138,0,0,0,0,0,0,0,0,1065.2,14.218298069740975,2116239.8,1668221.1290318079,-1,-1
144,0,0,0,0,0,0,0,0,1110.6,17.408044117591157,82489.8,4499.11584202941,-1,-1
150,0,0,0,0,0,0,0,0,1147,19.110206696946005,2531731,1997939.9493736543,-1,-1
156,0,0,0,0,0,0,0,0,1194.2,13.977124167724918,3628044.2,1767992.8613993214,-1,-1
162,0,0,0,0,0,0,0,0,1251,13.281566172707194,3883656,1905883.1507076188,-1,-1
168,0,0,0,0,0,0,0,0,1307.2,11.106754701531855,1106617,2050278.7672678074,-1,-1
174,0,0,0,0,0,0,0,0,1357.6,9.09065454189081,1195841.4,2185066.4057517885,-1,-1
180,0,0,0,0,0,0,0,0,1396.8,15.419468213917106,4759666.2,2353520.3055646154,-1,-1
186,0,0,0,0,0,0,0,0,1425,17.966635745180564,1323427.6,2439270.5479157986,-1,-1
192,0,0,0,0,0,0,0,0,1513,24.859605789312106,2479460.6,2924422.3324353546,-1,-1
198,0,0,0,0,0,0,0,0,1548.8,8.97552226892675,3919442.4,3175079.9386308747,-1,-1
